Finding_ID,Status,Security_Category,Check_ID,Check_Name,File_Path,Resource_Type,Resource_Name,Line_Start,Line_End,Remediation_Guidance,Azure_Documentation,Compliance_Framework
AZ-0011,FAILED,General Security,CKV_AZURE_232,Ensure that only critical system pods run on system nodes,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-kubernetes-policies/bc-azure-232,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0012,FAILED,General Security,CKV_AZURE_5,Ensure RBAC is enabled on AKS clusters,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-kubernetes-policies/bc-azr-kubernetes-2,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0013,FAILED,General Security,CKV_AZURE_172,Ensure autorotation of Secrets Store CSI Driver secrets for AKS clusters,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/azr-general-172,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0014,FAILED,General Security,CKV_AZURE_171,Ensure AKS cluster upgrade channel is chosen,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-171,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0015,FAILED,General Security,CKV_AZURE_116,Ensure that AKS uses Azure Policies Add-on,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-kubernetes-policies/ensure-that-aks-uses-azure-policies-add-on,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0016,FAILED,Data Protection,CKV_AZURE_117,Ensure that AKS uses disk encryption set,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Enable encryption at rest and in transit. Use customer-managed keys where possible.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-kubernetes-policies/ensure-that-aks-uses-disk-encryption-set,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0017,FAILED,Identity & Access,CKV_AZURE_13,Ensure App Service Authentication is set on Azure App Service,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Implement strong authentication and access controls with Azure AD.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azr-general-2,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0018,FAILED,General Security,CKV_AZURE_17,Ensure the web app has 'Client Certificates (Incoming client certificates)' set,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-7,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0019,FAILED,General Security,CKV_AZURE_65,Ensure that App service enables detailed error messages,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/tbdensure-that-app-service-enables-detailed-error-messages,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0020,FAILED,General Security,CKV_AZURE_66,Ensure that App service enables failed request tracing,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-failed-request-tracing,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0021,FAILED,General Security,CKV_AZURE_78,Ensure FTP deployments are disabled,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-ftp-deployments-are-disabled,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0022,FAILED,Logging & Monitoring,CKV_AZURE_63,Ensure that App service enables HTTP logging,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Enable comprehensive logging and monitoring for security events.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-http-logging,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0023,FAILED,General Security,CKV_AZURE_18,Ensure that 'HTTP Version' is the latest if used to run the web app,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-8,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0024,FAILED,General Security,CKV_AZURE_14,Ensure web app redirects all HTTP traffic to HTTPS in Azure App Service,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-5,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0025,FAILED,General Security,CKV_AZURE_16,Ensure that Register with Azure Active Directory is enabled on App Service,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Enable customer-managed key encryption for MySQL server,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azr-iam-1,"SOC 2, PCI DSS, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0026,FAILED,General Security,CKV_AZURE_71,Ensure that Managed identity provider is enabled for app services,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-managed-identity-provider-is-enabled-for-app-services,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0027,FAILED,Data Protection,CKV_AZURE_15,Ensure web app is using the latest version of TLS encryption,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Enable encryption at rest and in transit. Use customer-managed keys where possible.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-6,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0028,FAILED,General Security,CKV_AZURE_213,Ensure that App Service configures health check,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-213,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0029,FAILED,General Security,CKV_AZURE_88,Ensure that app services use Azure Files,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service1,22,41,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-app-services-use-azure-files,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0030,FAILED,Identity & Access,CKV_AZURE_13,Ensure App Service Authentication is set on Azure App Service,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service2,43,63,Implement strong authentication and access controls with Azure AD.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azr-general-2,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0031,FAILED,General Security,CKV_AZURE_17,Ensure the web app has 'Client Certificates (Incoming client certificates)' set,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service2,43,63,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-7,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0032,FAILED,General Security,CKV_AZURE_65,Ensure that App service enables detailed error messages,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service2,43,63,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/tbdensure-that-app-service-enables-detailed-error-messages,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0033,FAILED,General Security,CKV_AZURE_66,Ensure that App service enables failed request tracing,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service2,43,63,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-failed-request-tracing,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0034,FAILED,General Security,CKV_AZURE_78,Ensure FTP deployments are disabled,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service2,43,63,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-ftp-deployments-are-disabled,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0035,FAILED,Logging & Monitoring,CKV_AZURE_63,Ensure that App service enables HTTP logging,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service2,43,63,Enable comprehensive logging and monitoring for security events.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-http-logging,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0036,FAILED,General Security,CKV_AZURE_18,Ensure that 'HTTP Version' is the latest if used to run the web app,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service2,43,63,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-8,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0037,FAILED,General Security,CKV_AZURE_16,Ensure that Register with Azure Active Directory is enabled on App Service,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service2,43,63,Enable customer-managed key encryption for MySQL server,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azr-iam-1,"SOC 2, PCI DSS, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0038,FAILED,General Security,CKV_AZURE_71,Ensure that Managed identity provider is enabled for app services,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service2,43,63,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-managed-identity-provider-is-enabled-for-app-services,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0039,FAILED,General Security,CKV_AZURE_213,Ensure that App Service configures health check,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service2,43,63,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-213,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0040,FAILED,General Security,CKV_AZURE_88,Ensure that app services use Azure Files,\app_service.tf,azurerm_app_service,azurerm_app_service.app-service2,43,63,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-app-services-use-azure-files,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0041,FAILED,General Security,CKV_AZURE_218,Ensure Application Gateway defines secure protocols for in transit communication,\application_gateway.tf,azurerm_application_gateway,azurerm_application_gateway.network,1,66,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azure-218,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0042,FAILED,General Security,CKV_AZURE_217,Ensure Azure Application gateways listener that allow connection requests over HTTP,\application_gateway.tf,azurerm_application_gateway,azurerm_application_gateway.network,1,66,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azure-217,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0043,FAILED,General Security,CKV_AZURE_50,Ensure Virtual Machine Extensions are not Installed,\instance.tf,azurerm_linux_virtual_machine,azurerm_linux_virtual_machine.linux_machine,9,42,Ensure Virtual Machine extensions are installed,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azr-general-14,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0044,FAILED,Data Protection,CKV_AZURE_1,Ensure Azure Instance does not use basic authentication(Use SSH Key Instead),\instance.tf,azurerm_linux_virtual_machine,azurerm_linux_virtual_machine.linux_machine,9,42,Enable Azure Security Center automatic provisioning,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-1,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0045,FAILED,Data Protection,CKV_AZURE_178,Ensure linux VM enables SSH with keys for secure communication,\instance.tf,azurerm_linux_virtual_machine,azurerm_linux_virtual_machine.linux_machine,9,42,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/azr-general-178,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0046,FAILED,Identity & Access,CKV_AZURE_149,Ensure that Virtual machine does not enable password authentication,\instance.tf,azurerm_linux_virtual_machine,azurerm_linux_virtual_machine.linux_machine,9,42,Implement strong authentication and access controls with Azure AD.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-azure-virtual-machine-does-not-enable-password-authentication,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0047,FAILED,General Security,CKV_AZURE_50,Ensure Virtual Machine Extensions are not Installed,\instance.tf,azurerm_windows_virtual_machine,azurerm_windows_virtual_machine.windows_machine,44,77,Ensure Virtual Machine extensions are installed,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azr-general-14,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0048,FAILED,Data Protection,CKV_AZURE_151,Ensure Windows VM enables encryption,\instance.tf,azurerm_windows_virtual_machine,azurerm_windows_virtual_machine.windows_machine,44,77,Enable encryption at rest and in transit. Use customer-managed keys where possible.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/ensure-azure-windows-vm-enables-encryption,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0049,FAILED,Data Protection,CKV_AZURE_189,Ensure that Azure Key Vault disables public network access,\key_vault.tf,azurerm_key_vault,azurerm_key_vault.example,1,31,Review network security group rules and implement least privilege access.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-189,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0050,FAILED,Data Protection,CKV_AZURE_109,Ensure that key vault allows firewall rules settings,\key_vault.tf,azurerm_key_vault,azurerm_key_vault.example,1,31,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/ensure-that-key-vault-allows-firewall-rules-settings,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0051,FAILED,Data Protection,CKV_AZURE_110,Ensure that key vault enables purge protection,\key_vault.tf,azurerm_key_vault,azurerm_key_vault.example,1,31,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-key-vault-enables-purge-protection,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0052,FAILED,Data Protection,CKV_AZURE_42,Ensure the key vault is recoverable,\key_vault.tf,azurerm_key_vault,azurerm_key_vault.example,1,31,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-the-key-vault-is-recoverable,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0053,FAILED,Data Protection,CKV_AZURE_112,Ensure that key vault key is backed by HSM,\key_vault.tf,azurerm_key_vault_key,azurerm_key_vault_key.generated,33,56,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-key-vault-key-is-backed-by-hsm,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0054,FAILED,Data Protection,CKV_AZURE_40,Ensure that the expiration date is set on all keys,\key_vault.tf,azurerm_key_vault_key,azurerm_key_vault_key.generated,33,56,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/set-an-expiration-date-on-all-keys,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0055,FAILED,Data Protection,CKV_AZURE_114,"Ensure that key vault secrets have ""content_type"" set",\key_vault.tf,azurerm_key_vault_secret,azurerm_key_vault_secret.secret,58,72,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-key-vault-secrets-have-content-type-set,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0056,FAILED,General Security,CKV_AZURE_41,Ensure that the expiration date is set on all secrets,\key_vault.tf,azurerm_key_vault_secret,azurerm_key_vault_secret.secret,58,72,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-secrets-policies/set-an-expiration-date-on-all-secrets,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0057,FAILED,Logging & Monitoring,CKV_AZURE_38,Ensure audit profile captures all the activities,\logging.tf,azurerm_monitor_log_profile,azurerm_monitor_log_profile.logging_profile,1,10,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-audit-profile-captures-all-activities,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0058,FAILED,Logging & Monitoring,CKV_AZURE_37,Ensure that Activity Log Retention is set 365 days or greater,\logging.tf,azurerm_monitor_log_profile,azurerm_monitor_log_profile.logging_profile,1,10,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/set-activity-log-retention-to-365-days-or-greater,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0059,FAILED,Identity & Access,CKV_AZURE_59,Ensure that Storage accounts disallow public access,\mssql.tf,azurerm_storage_account,azurerm_storage_account.security_storage_account,1,18,Implement strong authentication and access controls with Azure AD.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/ensure-that-storage-accounts-disallow-public-access,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0060,FAILED,Logging & Monitoring,CKV_AZURE_33,"Ensure Storage logging is enabled for Queue service for read, write and delete requests",\mssql.tf,azurerm_storage_account,azurerm_storage_account.security_storage_account,1,18,Enable comprehensive logging and monitoring for security events.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/enable-requests-on-storage-logging-for-queue-service,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0061,FAILED,Data Protection,CKV_AZURE_44,Ensure Storage Account is using the latest version of TLS encryption,\mssql.tf,azurerm_storage_account,azurerm_storage_account.security_storage_account,1,18,Ensure Storage Account is using the latest version of TLS encryption,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-storage-policies/bc-azr-storage-2,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0062,FAILED,Data Storage,CKV_AZURE_206,Ensure that Storage Accounts use replication,\mssql.tf,azurerm_storage_account,azurerm_storage_account.security_storage_account,1,18,Secure storage account with proper access policies and encryption.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/azr-general-206,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0063,FAILED,Identity & Access,CKV_AZURE_190,Ensure that Storage blobs restrict public access,\mssql.tf,azurerm_storage_account,azurerm_storage_account.security_storage_account,1,18,Implement strong authentication and access controls with Azure AD.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-190,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0064,FAILED,Data Protection,CKV_AZURE_52,Ensure MSSQL is using the latest version of TLS encryption,\mssql.tf,azurerm_mssql_server,azurerm_mssql_server.mssql1,20,37,Enable encryption at rest and in transit. Use customer-managed keys where possible.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-mssql-is-using-the-latest-version-of-tls-encryption,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0065,FAILED,Network Security,CKV_AZURE_113,Ensure that SQL server disables public network access,\mssql.tf,azurerm_mssql_server,azurerm_mssql_server.mssql1,20,37,Review network security group rules and implement least privilege access.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/ensure-that-sql-server-disables-public-network-access,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0066,FAILED,Data Protection,CKV_AZURE_52,Ensure MSSQL is using the latest version of TLS encryption,\mssql.tf,azurerm_mssql_server,azurerm_mssql_server.mssql2,39,56,Enable encryption at rest and in transit. Use customer-managed keys where possible.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-mssql-is-using-the-latest-version-of-tls-encryption,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0067,FAILED,Network Security,CKV_AZURE_113,Ensure that SQL server disables public network access,\mssql.tf,azurerm_mssql_server,azurerm_mssql_server.mssql2,39,56,Review network security group rules and implement least privilege access.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/ensure-that-sql-server-disables-public-network-access,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0068,FAILED,Data Protection,CKV_AZURE_52,Ensure MSSQL is using the latest version of TLS encryption,\mssql.tf,azurerm_mssql_server,azurerm_mssql_server.mssql3,58,75,Enable encryption at rest and in transit. Use customer-managed keys where possible.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-mssql-is-using-the-latest-version-of-tls-encryption,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0069,FAILED,Network Security,CKV_AZURE_113,Ensure that SQL server disables public network access,\mssql.tf,azurerm_mssql_server,azurerm_mssql_server.mssql3,58,75,Review network security group rules and implement least privilege access.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/ensure-that-sql-server-disables-public-network-access,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
